[2026-04-19T16:56:47.852Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-04-19T17:07:55.666Z] GET http://localhost:8765/ → 200 (2ms, 46124B)
[2026-04-19T17:07:55.671Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 18356B)
[2026-04-19T17:07:55.672Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T17:07:55.672Z] GET http://localhost:8765/headshot.jpg → 200 (?ms, 19299B)
[2026-04-19T17:07:55.707Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-19T17:07:55.708Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (?ms, ?B)
[2026-04-19T17:07:55.708Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-04-19T17:10:07.628Z] GET http://localhost:8765/ → 200 (6ms, 46946B)
[2026-04-19T17:10:07.640Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (1ms, 18356B)
[2026-04-19T17:10:07.641Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T17:10:07.641Z] GET http://localhost:8765/headshot.jpg → 200 (?ms, 19299B)
[2026-04-19T17:10:07.683Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-19T17:10:07.683Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (?ms, ?B)
[2026-04-19T17:10:07.683Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (1ms, ?B)
[2026-04-19T17:14:26.258Z] GET http://localhost:8765/ → 200 (3ms, 46475B)
[2026-04-19T17:14:26.264Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 18356B)
[2026-04-19T17:14:26.265Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T17:14:26.265Z] GET http://localhost:8765/headshot.jpg → 304 (?ms, ?B)
[2026-04-19T17:14:26.303Z] GET https://fonts.gstatic.com/s/inter/v20/UcC73FwrK3iLTeHuS_nVMrMxCp50SjIa1ZL7W0Q5nw.woff2 → 200 (?ms, ?B)
[2026-04-19T17:14:26.303Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFkD-vYSZviVYUb_rj3ij__anPXDTnogkk7yRZrPA.woff2 → 200 (1ms, ?B)
[2026-04-19T17:14:26.304Z] GET https://fonts.gstatic.com/s/playfairdisplay/v40/nuFiD-vYSZviVYUb_rj3ij__anPXDTzYgEM86xQ.woff2 → 200 (?ms, ?B)
[2026-04-19T17:17:23.438Z] GET http://localhost:8765/ → 200 (2ms, 47845B)
[2026-04-19T17:17:23.442Z] GET https://fonts.googleapis.com/css2?family=Playfair+Display:ital,wght@0,400;0,600;0,700;1,400;1,600&family=Inter:wght@300;400;500;600&display=swap → 200 (?ms, 18356B)
[2026-04-19T17:17:23.442Z] GET https://cdn.tailwindcss.com/ → 200 (?ms, 407279B)
[2026-04-19T17:17:23.443Z] GET http://localhost:8765/headshot.jpg → 200 (?ms, 19299B)
